rsi_p,fast_p,slow_p,k_p,d_p,avg_sharpe,avg_return,avg_calmar,avg_maxdd,avg_win_rate,avg_trades,n_stocks
14,20,60,22,44,0.8042853851873443,6.308682900673971,0.4935051866963498,-0.32901479819887974,0.6663947880661986,32.77777777777778,9
14,20,70,8,20,0.6472419080391112,5.329693427196137,0.3635691902359469,-0.3731888943858858,0.5582702489979443,47.666666666666664,9
14,20,70,8,28,0.7441944170256419,5.803474006913992,0.4361407305136536,-0.3625954433431326,0.6264810642373145,42.333333333333336,9
14,20,70,8,36,0.7527350938668816,4.7564936910670355,0.43880943812735523,-0.35785733381604756,0.6211289034302451,37.111111111111114,9
14,20,70,8,44,0.7616937091109212,5.5324840120464245,0.4667489907963705,-0.33252221240436985,0.6273092014320085,34.888888888888886,9
14,20,70,10,20,0.6527427097030629,5.192337361259893,0.36885021695065756,-0.37617785852982183,0.5876055349785754,46.22222222222222,9
14,20,70,10,28,0.7470867609735037,6.036012050791634,0.45838912006065463,-0.35292355539127,0.6278978204091225,40.44444444444444,9
14,20,70,10,36,0.7828354964006993,5.1405342961576785,0.48266298571669203,-0.34319822660532784,0.642699890945505,36.666666666666664,9
14,20,70,10,44,0.7583690694556834,6.533998108718099,0.4768022663981428,-0.32550138039175736,0.6575766151983735,34.22222222222222,9
14,20,70,14,20,0.7199880036457331,5.125418891912366,0.41467110916232336,-0.3758846078341114,0.6022373195844387,43.333333333333336,9
14,20,70,14,28,0.8022899805866283,5.849678600702013,0.4770930345980835,-0.36265406839619024,0.6357160605662959,38.333333333333336,9
14,20,70,14,36,0.8057042323381199,6.179175206191398,0.48567408945984336,-0.346644985435899,0.6544359351376896,35.333333333333336,9
14,20,70,14,44,0.7348783978914383,4.889582137002462,0.4314349828012587,-0.3542262392811823,0.6190679193367364,33.0,9
14,20,70,18,20,0.7681849792767089,4.843213108892143,0.43586202561977105,-0.37610050020837393,0.6136839027523268,40.22222222222222,9
14,20,70,18,28,0.7923682972810153,5.3817213734953775,0.4863699497998631,-0.3421748134536425,0.6386977720311053,36.666666666666664,9
14,20,70,18,36,0.7221404022003728,5.088755502716721,0.3758608616282428,-0.3812846718655254,0.626002274484248,33.888888888888886,9
14,20,70,18,44,0.7669376238189706,4.860061194793652,0.42657287630106583,-0.3591477396427742,0.6299738110769977,32.0,9
14,20,70,22,20,0.7960908670279105,5.645964921732915,0.4651042316314513,-0.3646998578368988,0.6400461865374146,37.111111111111114,9
14,20,70,22,28,0.7328652602840943,5.023140428249578,0.3937584128879458,-0.37016387452437033,0.6437414357886494,34.888888888888886,9
14,20,70,22,36,0.7848997516415803,5.460636566508628,0.443964136045242,-0.3575896198987107,0.6423417260935528,32.44444444444444,9
14,20,70,22,44,0.7979000261055281,5.028311845882295,0.4251638650592785,-0.3660390511898506,0.6340188078017692,31.0,9
14,25,35,8,20,0.43905575495416066,3.335609598115211,0.20758191520913977,-0.43813458783516646,0.5750637193642338,68.66666666666667,9
14,25,35,8,28,0.5171370582036179,5.283938589212997,0.294452434675998,-0.4069500077440041,0.5940472332600303,61.77777777777778,9
14,25,35,8,36,0.5825519063152215,3.277708702579732,0.2844263874560359,-0.3962655873169734,0.6022758534406507,56.0,9
14,25,35,8,44,0.6431167411445414,3.978200539654301,0.32435780531307856,-0.39772560428208814,0.6019952970949158,53.44444444444444,9
14,25,35,10,20,0.4677294097716861,3.994483426851433,0.23146149817178222,-0.4361753243462648,0.5784520216625548,66.33333333333333,9
14,25,35,10,28,0.5167636711089326,2.9096832494311706,0.23177807911308174,-0.43562574738518617,0.5887911811622234,59.44444444444444,9
14,25,35,10,36,0.610712465107474,3.612863802973423,0.29733018143890544,-0.39726763224515926,0.595394934693705,53.77777777777778,9
14,25,35,10,44,0.653536130586954,4.1992564305066615,0.33696666469438563,-0.40218663839386476,0.613673338852416,50.666666666666664,9
14,25,35,14,20,0.5354199955433697,3.1977434105254616,0.24453439272496974,-0.43152291744330246,0.5962006605272955,61.111111111111114,9
14,25,35,14,28,0.6562713556917272,4.9289068245603636,0.34649374440761727,-0.38207043678423824,0.6235791660111079,54.333333333333336,9
14,25,35,14,36,0.6945513729543337,5.525209390830065,0.3608197819242449,-0.3997270803207388,0.6318282646750762,50.0,9
14,25,35,14,44,0.7439568367752616,5.94013142599148,0.4336979354820391,-0.3634566393134269,0.6329411366170493,46.888888888888886,9
14,25,35,18,20,0.6273179516040962,3.9204041652420756,0.2997940426709724,-0.4369055338078105,0.6151643371240402,55.44444444444444,9
14,25,35,18,28,0.7270761597543653,6.512242339897301,0.3973460394358304,-0.37733232621304613,0.6330276030747729,51.111111111111114,9
14,25,35,18,36,0.7290244722893968,5.318361783044102,0.4457426750702912,-0.34961722878296686,0.6365171895324752,46.77777777777778,9
14,25,35,18,44,0.7361207271852428,4.887386450228429,0.40132092051715956,-0.38128328534442285,0.6420596042263654,43.55555555555556,9
14,25,35,22,20,0.7121670927069244,5.9116178786337565,0.4125180691519759,-0.35888142654553745,0.6362002103622525,52.666666666666664,9
14,25,35,22,28,0.7208582398855621,5.592033485755488,0.401180504800743,-0.37369831188830527,0.6306214980121415,48.55555555555556,9
14,25,35,22,36,0.7326821236493317,5.544812072764452,0.41839715402959554,-0.3636007972014682,0.6209316842446923,44.0,9
